Atom positions and velocities over time grids from ground truth
-1.0759  1.5774 -1.8340  0.6510  0.5320 -0.7528  0.5792 -0.3301  1.7155 -0.7435

 0.8882  1.0067 -0.2013  1.3106 -0.6265 -0.7562  0.6887  0.6661 -0.3974  1.0791
 1.0001  1.0413 -0.2027  1.1461 -0.6403 -0.7350  0.8636  0.6541 -0.4206  1.0550
 1.1034  1.0699 -0.2027  0.9842 -0.6503 -0.7113  1.0279  0.6389 -0.4405  1.0275
 1.1985  1.0930 -0.2016  0.8250 -0.6568 -0.6856  1.1820  0.6210 -0.4573  0.9968

 0.4466 -0.4974 -0.7143 -0.0372 -0.3794 -0.8613  0.8877 -0.0409 -1.4088 -0.5077
 0.4554 -0.4894 -0.7155  0.1315 -0.4300 -1.0523  0.8959 -0.0170 -1.3414 -0.5179
 0.4609 -0.4791 -0.7134  0.2937 -0.4763 -1.2318  0.8993  0.0056 -1.2724 -0.5248
 0.4634 -0.4669 -0.7081  0.4494 -0.5185 -1.4004  0.8984  0.0271 -1.2019 -0.5287

-0.8824 -0.4611
-0.8540 -0.4623
-0.8233 -0.4609
-0.7904 -0.4571
[ CPUFloatType{4,192} ]
